,City,Cloudiness,Country,Unix Date,Human Date,Humidity,Latitude,Longitude,Max Temp (C),Wind Speed
0,kununurra,0,AU,1543566600,2018/11/30,55,-15.77,128.74,31.0,1.5
1,gat,8,SN,1543566600,2018/11/30,56,14.69,-16.54,22.0,6.2
2,thompson,75,CA,1543564800,2018/11/30,92,55.74,-97.86,-8.0,2.6
3,ushuaia,20,AR,1543564800,2018/11/30,99,-54.81,-68.31,6.0,8.2
4,albany,90,US,1543568040,2018/11/30,75,42.65,-73.75,2.2,1.5
5,russell,0,AR,1543568845,2018/11/30,61,-33.01,-68.8,9.12,2.06
6,shahpur,0,IN,1543568846,2018/11/30,47,22.19,77.91,27.49,1.96
7,tchollire,0,CM,1543568846,2018/11/30,47,8.4,14.17,28.44,1.86
8,kapit,24,MY,1543568846,2018/11/30,75,2.02,112.94,28.99,0.96
9,busselton,0,AU,1543568846,2018/11/30,100,-33.64,115.35,17.84,8.86
10,mar del plata,76,AR,1543568847,2018/11/30,68,-46.43,-67.52,10.84,7.71
11,rikitea,0,PF,1543568759,2018/11/30,94,-23.12,-134.97,26.02,6.56
12,emerald,0,AU,1543564800,2018/11/30,11,-23.53,148.16,36.0,4.1
13,alyangula,40,AU,1543564800,2018/11/30,52,-13.85,136.42,34.0,2.6
14,hobart,75,AU,1543566600,2018/11/30,87,-42.88,147.33,14.0,2.1
15,mezen,92,RU,1543568847,2018/11/30,94,65.85,44.24,0.59,3.81
16,port alfred,0,ZA,1543568848,2018/11/30,64,-33.59,26.89,24.42,10.16
17,port lincoln,8,AU,1543568848,2018/11/30,67,-34.72,135.86,20.77,3.66
18,georgetown,20,GY,1543564800,2018/11/30,94,6.8,-58.16,23.0,3.46
19,barrow,36,AR,1543568849,2018/11/30,92,-38.31,-60.23,16.02,5.81
20,hun,75,BE,1543567800,2018/11/30,81,50.34,4.87,10.0,5.1
21,tuatapere,92,NZ,1543568849,2018/11/30,100,-46.13,167.69,12.77,1.16
22,konevo,68,BG,1543568849,2018/11/30,93,41.67,25.61,-3.29,5.31
23,bandarbeyla,80,SO,1543568850,2018/11/30,100,9.49,50.81,26.52,8.86
24,ambulu,88,ID,1543568850,2018/11/30,100,-8.35,113.61,26.32,2.21
25,mataura,88,NZ,1543568762,2018/11/30,92,-46.19,168.86,14.69,2.86
